# Pinout for LFE5U-25F,,,,
,,,,
# Revision 0.1,,,,
# Status Preliminary,,,,
# Revised 9-Jan-24,,,,
# First extraction,,,,
,,,,
,,,,
,,,,
PADN,FNC,PADX,PADY,CABGA256
235,VSSIO2,1990.6,431.2,GND
236,PR23A,1893.5,433.9,J16
237,PR20D,1806.7,470.5,K14
238,VSS,1990.6,518.2,GND
239,PR20B,1893.5,520.9,H15
240,PR20C,1806.7,557.5,J14
241,VCC,1990.6,605.2,VCC
242,PR20A,1893.5,607.9,G16
243,PR17D,1806.7,642.1,J12
244,VSS,1990.6,689.8,GND
245,PR17B,1893.5,692.6,H13
246,PR17C,1806.7,729.1,J13
247,VCCAUX,1990.6,776.8,VCCAUX
248,PR17A,1893.5,779.5,H12
249,PR14D,1806.7,816.1,H14
250,VCCIO2,1990.6,863.8,VCCIO2
251,PR14B,1893.5,866.5,G15
252,PR14C,1806.7,903.1,G14
253,VSSIO2,1990.6,950.8,GND
254,PR14A,1893.5,953.5,F16
255,PR11D,1806.7,1009.5,E16
256,VCCIO2,1990.6,1057.2,VCCIO2
257,PR11B,1893.5,1059.9,G13
258,PR11C,1806.7,1096.5,F15
259,VSSIO2,1990.6,1144.2,GND
260,PR11A,1893.5,1146.9,G12
261,PR8D,1806.7,1183.5,F12
262,VSS,1990.6,1231.2,GND
263,PR8B,1893.5,1233.9,E15
264,PR8C,1806.7,1270.5,F13
265,VCC,1990.6,1318.2,VCC
266,PR8A,1893.5,1320.9,D16
267,PR5D,1806.7,1355.1,F14
268,VSS,1990.6,1402.8,GND
269,PR5B,1893.5,1405.5,C15
270,PR5C,1806.7,1442.1,E14
271,VCCAUX,1990.6,1489.8,VCCAUX
272,PR5A,1893.5,1492.5,C16
273,PR2D,1806.7,1529.1,D14
274,VCCIO2,1990.6,1576.8,VCCIO2
275,PR2C,1806.7,1616.1,C14
276,VSSIO2,1990.6,1663.8,GND
277,PR2B,1893.5,1750.8,B15
278,PR2A,1893.5,1837.8,B16
279,VSS,1769.5,1938.9,GND
280,VCC,1681.2,1938.9,VCC
281,VSS,1593.8,1938.9,GND
282,VCC,1506.8,1938.9,VCC
283,PT67B,1425.3,1755.1,A15
284,VCCIO1,1425.3,1938.9,VCCIO1
285,PT65B,1385,1841.8,A14
286,PT67A,1338.3,1755.1,B14
287,VSSIO1,1338.3,1938.9,GND
288,PT65A,1298,1841.8,A13
289,PT62B,1251.3,1755.1,E13
290,VSS,1251.3,1938.9,GND
291,PT60B,1211,1841.8,C13
292,PT62A,1164.3,1755.1,D13
293,VCC,1164.3,1938.9,VCC
294,PT60A,1124,1841.8,B13
295,PT58B,1063.5,1755.1,E12
296,VSS,1063.5,1938.9,GND
297,PT56B,1023.2,1841.8,C12
298,PT58A,976.5,1755.1,D12
299,VCCAUX,976.5,1938.9,VCCAUX
300,PT56A,936.2,1841.8,B12
301,PT53B,889.5,1755.1,A12
302,VCCIO1,889.5,1938.9,VCCIO1
303,PT51B,849.2,1841.8,E11
304,PT53A,802.5,1755.1,A11
305,VSSIO1,802.5,1938.9,GND
306,PT51A,762.2,1841.8,D11
307,PT49B,658.5,1755.1,C11
308,VCCIO1,658.5,1938.9,VCCIO1
309,PT47B,618.2,1841.8,E10
310,PT49A,571.5,1755.1,B11
311,VSSIO1,571.5,1938.9,GND
312,PT47A,531.2,1841.8,D10
313,PT44B,484.5,1755.1,C10
314,VSS,484.5,1938.9,GND
315,PT42B,444.2,1841.8,A10
316,PT44A,397.5,1755.1,B10
317,VCC,397.5,1938.9,VCC
318,PT42A,357.3,1841.8,A9
319,PT40B,296.7,1755.1,E9
320,VSS,296.7,1938.9,GND
321,PT38B,256.4,1841.8,C9
322,PT40A,209.7,1755.1,D9
323,VCCAUX,209.7,1938.9,VCCAUX
324,PT38A,169.4,1841.8,B9
325,PT35B,122.7,1755.1,B8
326,VCCIO1,122.7,1938.9,VCCIO1
327,PT33B,82.4,1841.8,D8
328,PT35A,35.7,1755.1,C8
329,VSSIO1,35.7,1938.9,GND
330,PT33A,-4.6,1841.8,E8
331,VSS,-128,1938.9,GND
332,VCC,-218,1938.9,VCC
333,PT29B,-313.7,1755.1,A8
334,VCCIO0,-313.7,1938.9,VCCIO0
335,PT27B,-353.9,1841.8,B7
336,PT29A,-400.7,1755.1,A7
337,VSSIO0,-400.7,1938.9,GND
338,PT27A,-440.9,1841.8,C7
339,PT24B,-487.6,1755.1,D7
340,VSS,-487.6,1938.9,GND
341,PT22B,-527.9,1841.8,B6
342,PT24A,-574.6,1755.1,E7
343,VCC,-574.6,1938.9,VCC
344,PT22A,-614.9,1841.8,C6
345,PT20B,-730.9,1755.1,D6
346,VSS,-730.9,1938.9,GND
347,PT18B,-771.2,1841.8,A6
348,PT20A,-817.9,1755.1,E6
349,VCCAUX,-817.9,1938.9,VCCAUX
350,PT18A,-858.2,1841.8,A5
351,PT15B,-904.9,1755.1,B5
352,VCCIO0,-904.9,1938.9,VCCIO0
353,PT13B,-945.2,1841.8,D5
354,PT15A,-991.9,1755.1,C5
355,VSSIO0,-991.9,1938.9,GND
356,PT13A,-1032.2,1841.8,E5
357,PT11B,-1074,1755.1,B4
358,VCCIO0,-1074,1938.9,VCCIO0
359,PT9B,-1114.3,1841.8,D4
360,PT11A,-1161,1755.1,C4
361,VSSIO0,-1161,1938.9,GND
362,PT9A,-1201.3,1841.8,E4
363,PT6B,-1248,1755.1,A4
364,VSS,-1248,1938.9,GND
365,PT4B,-1288.3,1841.8,B3
366,PT6A,-1335,1755.1,A3
367,VCC,-1335,1938.9,VCC
368,PT4A,-1375.3,1841.8,A2
369,VSS,-1437.2,1938.9,GND
370,VCC,-1524.2,1938.9,VCC
371,VCC,-1611.8,1938.9,VCC
372,VSS,-1705.5,1938.9,GND
0,GND,0,0,A16
0,GND,0,0,H16
0,GND,0,0,T16
0,GND,0,0,D15
0,GND,0,0,N15
0,GND,0,0,T12
0,GND,0,0,G10
0,GND,0,0,H10
0,GND,0,0,J10
0,GND,0,0,K10
0,GND,0,0,F9
0,GND,0,0,H9
0,GND,0,0,J9
0,GND,0,0,K9
0,GND,0,0,F8
0,GND,0,0,G8
0,GND,0,0,H8
0,GND,0,0,J8
0,GND,0,0,K8
0,GND,0,0,K7
0,GND,0,0,K6
0,GND,0,0,T5
0,GND,0,0,D2
0,GND,0,0,N2
0,GND,0,0,A1
0,GND,0,0,H1
0,GND,0,0,T1
0,VCC,0,0,L10
0,VCC,0,0,G9
0,VCC,0,0,L9
0,VCC,0,0,L8
0,VCC,0,0,G7
0,VCC,0,0,G6
0,VCCAUX,0,0,G11
0,VCCAUX,0,0,L7
0,VCCIO0,0,0,F7
0,VCCIO0,0,0,F6
0,VCCIO1,0,0,F11
0,VCCIO1,0,0,F10
0,VCCIO2,0,0,H11
0,VCCIO2,0,0,J11
0,VCCIO3,0,0,K11
0,VCCIO3,0,0,L11
0,VCCIO8,0,0,L6
0,VCCIO6,0,0,J7
0,VCCIO6,0,0,J6
0,VCCIO7,0,0,H7
0,VCCIO7,0,0,H6
