Designator,Mid X,Mid Y,Rotation,Layer
R1021,89.63,-139.4,270.0,top
R1023,86.86,-128.535,270.0,top
R1024,84.8675,-136.08,90.0,top
R1027,65.0,-143.1,90.0,top
R1028,86.33,-139.65,270.0,bottom
R1029,64.93,-136.83,90.0,top
R1030,95.66,-122.4,270.0,bottom
R1031,95.66,-125.46,270.0,bottom
R1032,72.575,-127.98,90.0,top
R1033,78.165,-128.3375,90.0,top
R1035,71.765,-125.62,180.0,top
R1038,69.015,-122.99,90.0,top
R1039,124.03,-138.89,0.0,top
R1101,133.06225,-98.98775,180.0,bottom
R1201,69.4425,-80.485,180.0,top
R1202,66.51,-80.4,180.0,top
R1204,76.8,-84.02,0.0,bottom
R1205,74.38,-80.96,90.0,bottom
R1206,49.15,-85.33,90.0,bottom
R1207,49.11,-82.09,90.0,bottom
R1208,73.24,-80.12,90.0,bottom
R1209,49.41,-90.39,270.0,bottom
R1210,49.37,-93.5,270.0,bottom
R1211,79.09,-82.7,180.0,bottom
R1212,76.63,-78.61,270.0,bottom
R1213,79.73,-84.62,90.0,bottom
R201,66.87,-57.36,0.0,bottom
R202,91.47,-56.27,180.0,top
R203,101.190002,-56.179999,180.0,bottom
R204,98.84,-55.1875,90.0,bottom
R205,97.31,-55.45,270.0,bottom
R206,104.365,-57.66,0.0,top
R207,101.105,-54.62,0.0,bottom
R208,79.48,-64.85,270.0,top
R209,71.19,-63.53,270.0,top
R210,80.6925,-59.31,270.0,top
R211,71.955,-60.065,270.0,top
R212,80.0425,-57.01,180.0,top
R213,70.405,-58.015,90.0,top
R215,88.8175,-58.685,270.0,top
R216,88.405,-56.365,180.0,top
R217,93.04,-64.82,270.0,bottom
R218,96.43,-60.015,270.0,top
R219,140.275,-92.475,270.0,top
R221,139.495,-94.755,180.0,top
R222,137.975,-97.95,0.0,top
R223,138.675,-92.435,90.0,top
R225,94.93,-57.715,90.0,top
R226,101.190002,-57.779999,180.0,bottom
R227,104.27,-57.66,180.0,bottom
R301,85.58,-63.6,270.0,bottom
R401,90.745,-77.37,90.0,bottom
R601,48.65,-73.37,0.0,top
R602,78.72,-78.15,0.0,bottom
R603,48.69,-75.18,0.0,top
R604,50.41,-68.6,0.0,top
R605,48.03,-67.68,0.0,top
R606,50.42,-69.61,0.0,top
R607,48.17,-70.48,0.0,top
R701,111.78,-125.39,180.0,top
R704,124.99,-116.5,90.0,top
R705,126.13,-114.5,90.0,top
R706,50.98,-122.14,180.0,bottom
R707,127.19,-120.12,270.0,top
R801,134.03,-72.53,0.0,bottom
R802,132.855,-62.4,180.0,top
R803,131.955,-59.7,90.0,top
R804,131.03,-65.12,0.0,bottom
R805,136.62,-63.92,0.0,bottom
R806,128.82,-75.613,180.0,top
R807,130.91,-75.613,180.0,top
R808,132.51,-75.188,0.0,bottom
R809,134.26,-79.37,0.0,bottom
R810,134.31,-77.81,180.0,bottom
R811,125.8925,-59.7375,90.0,top
R812,126.78,-62.325,180.0,top
R813,128.4925,-57.225,0.0,top
R814,127.03,-55.66,180.0,bottom
R815,128.63,-57.21,180.0,bottom
R816,141.2175,-58.7875,270.0,top
R817,124.33,-69.15,180.0,top
R818,139.9675,-56.3375,0.0,top
R821,134.255,-57.1,0.0,top
R826,131.37,-55.49,180.0,bottom
R830,134.255,-57.1,180.0,bottom
RJ1001,134.478956,-138.19008,270.0,top
RN1201,77.33,-87.15,90.0,bottom
RN703,138.41,-118.05,270.0,bottom
RN704,138.23,-124.06,270.0,bottom
RN707,50.95,-119.46,90.0,bottom
RN708,50.75,-114.82,90.0,bottom
SW602,49.255,-67.18,0.0,bottom
SW603,49.25,-70.72,0.0,bottom
SW701,110.52,-125.18,180.0,bottom
TP1001,69.57,-128.83,270.0,top
TP1011,65.87,-123.8,0.0,top
TP1012,103.6,-131.8,0.0,top
TP202,71.72,-54.49,180.0,top
TP205,64.74,-76.94,0.0,top
TP207,85.29,-72.9,0.0,top
TP208,140.08,-101.8,270.0,bottom
TP209,141.23,-83.38,90.0,bottom
TP210,140.54,-79.1,270.0,top
TP801,125.23,-65.09,270.0,top
U1001,88.51,-119.01,180.0,top
U1002,90.685,-136.16,0.0,top
U1003,90.5915,-144.76,0.0,top
U1004,76.925,-124.575,270.0,top
U1005,71.685,-122.86,270.0,top
U1201,69.905,-85.335,90.0,top
U201,99.7,-57.02,180.0,top
U202,76.455,-57.865,180.0,top
U203,67.4175,-58.345,180.0,top
U204,84.8675,-57.715,180.0,top
U205,91.9425,-58.665,180.0,top
U206,141.225,-97.6125,90.0,top
U701,74.285,-114.1,180.0,bottom
U702,67.845,-114.17,180.0,bottom
U801,129.0989,-71.908,180.0,top
U802,138.5175,-59.15,90.0,top
U803,128.9925,-59.7375,180.0,top
U804,134.755,-59.68,180.0,top
Y1201,69.85,-77.71,270.0,top
Y401,89.34,-77.41,180.0,top
Y801,129.61,-78.013,180.0,top
